Freq.	V(OUT)/V(INJ)
1.44877185354475e+00	(1.03653562017823e+02dB,7.50138660144170e+01°)
1.45211161758773e+00	(1.03630703541355e+02dB,7.49233236922492e+01°)
1.45545908058195e+00	(1.03607824080183e+02dB,7.48327484872345e+01°)
1.45881426027534e+00	(1.03584923601079e+02dB,7.47421403268331e+01°)
1.46217717445671e+00	(1.03562002070642e+02dB,7.46514991395991e+01°)
1.46554784095590e+00	(1.03539059455304e+02dB,7.45608248551992e+01°)
1.46892627764385e+00	(1.03516095721327e+02dB,7.44701174044094e+01°)
1.47231250243271e+00	(1.03493110834802e+02dB,7.43793767191330e+01°)
1.47570653327588e+00	(1.03470104761656e+02dB,7.42886027323992e+01°)
1.47910838816819e+00	(1.03447077467647e+02dB,7.41977953783749e+01°)
1.48251808514594e+00	(1.03424028918365e+02dB,7.41069545923853e+01°)
1.48593564228699e+00	(1.03400959079240e+02dB,7.40160803108883e+01°)
1.48936107771090e+00	(1.03377867915528e+02dB,7.39251724715306e+01°)
1.49279440957898e+00	(1.03354755392327e+02dB,7.38342310131099e+01°)
1.49623565609442e+00	(1.03331621474570e+02dB,7.37432558756097e+01°)
1.49968483550236e+00	(1.03308466127026e+02dB,7.36522470002054e+01°)
1.50314196609001e+00	(1.03285289314302e+02dB,7.35612043292596e+01°)
1.50660706618673e+00	(1.03262091000843e+02dB,7.34701278063410e+01°)
1.51008015416413e+00	(1.03238871150934e+02dB,7.33790173762310e+01°)
1.51356124843619e+00	(1.03215629728699e+02dB,7.32878729849307e+01°)
1.51705036745932e+00	(1.03192366698104e+02dB,7.31966945796602e+01°)
1.52054752973248e+00	(1.03169082022952e+02dB,7.31054821088916e+01°)
1.52405275379728e+00	(1.03145775666894e+02dB,7.30142355223213e+01°)
1.52756605823806e+00	(1.03122447593420e+02dB,7.29229547709065e+01°)
1.53108746168201e+00	(1.03099097765863e+02dB,7.28316398068669e+01°)
1.53461698279928e+00	(1.03075726147403e+02dB,7.27402905836794e+01°)
1.53815464030302e+00	(1.03052332701066e+02dB,7.26489070561005e+01°)
1.54170045294954e+00	(1.03028917389718e+02dB,7.25574891801736e+01°)
1.54525443953840e+00	(1.03005480176077e+02dB,7.24660369132290e+01°)
1.54881661891247e+00	(1.02982021022708e+02dB,7.23745502138950e+01°)
1.55238700995807e+00	(1.02958539892020e+02dB,7.22830290421097e+01°)
1.55596563160506e+00	(1.02935036746280e+02dB,7.21914733591179e+01°)
1.55955250282694e+00	(1.02911511547594e+02dB,7.20998831274957e+01°)
1.56314764264094e+00	(1.02887964257926e+02dB,7.20082583111488e+01°)
1.56675107010813e+00	(1.02864394839088e+02dB,7.19165988753180e+01°)
1.57036280433354e+00	(1.02840803252750e+02dB,7.18249047865846e+01°)
1.57398286446620e+00	(1.02817189460428e+02dB,7.17331760128938e+01°)
1.57761126969933e+00	(1.02793553423496e+02dB,7.16414125235465e+01°)
1.58124803927037e+00	(1.02769895103182e+02dB,7.15496142892170e+01°)
1.58489319246110e+00	(1.02746214460573e+02dB,7.14577812819489e+01°)
1.58854674859776e+00	(1.02722511456608e+02dB,7.13659134751781e+01°)
1.59220872705115e+00	(1.02698786052085e+02dB,7.12740108437314e+01°)
1.59587914723672e+00	(1.02675038207666e+02dB,7.11820733638275e+01°)
1.59955802861465e+00	(1.02651267883864e+02dB,7.10901010131091e+01°)
1.60324539069002e+00	(1.02627475041057e+02dB,7.09980937706230e+01°)
