Freq.	V(p15v_pri)/V(inj)
1.30918192299940e+00	(6.79985593545190e+01dB,1.01724849033011e+02°)
1.31219989901919e+00	(6.79797513370681e+01dB,1.01702462956562e+02°)
1.31522483219223e+00	(6.79609410273787e+01dB,1.01680117442212e+02°)
1.31825673855640e+00	(6.79421284318397e+01dB,1.01657812379532e+02°)
1.32129563418657e+00	(6.79233135567735e+01dB,1.01635547658359e+02°)
1.32434153519466e+00	(6.79044964084362e+01dB,1.01613323168797e+02°)
1.32739445772973e+00	(6.78856769930181e+01dB,1.01591138801220e+02°)
1.33045441797808e+00	(6.78668553166438e+01dB,1.01568994446275e+02°)
1.33352143216332e+00	(6.78480313853732e+01dB,1.01546889994881e+02°)
1.33659551654643e+00	(6.78292052052011e+01dB,1.01524825338231e+02°)
1.33967668742593e+00	(6.78103767820580e+01dB,1.01502800367795e+02°)
1.34276496113785e+00	(6.77915461218105e+01dB,1.01480814975321e+02°)
1.34586035405594e+00	(6.77727132302614e+01dB,1.01458869052838e+02°)
1.34896288259164e+00	(6.77538781131503e+01dB,1.01436962492653e+02°)
1.35207256319427e+00	(6.77350407761539e+01dB,1.01415095187359e+02°)
1.35518941235103e+00	(6.77162012248863e+01dB,1.01393267029830e+02°)
1.35831344658714e+00	(6.76973594648996e+01dB,1.01371477913229e+02°)
1.36144468246594e+00	(6.76785155016839e+01dB,1.01349727731004e+02°)
1.36458313658891e+00	(6.76596693406681e+01dB,1.01328016376891e+02°)
1.36772882559584e+00	(6.76408209872201e+01dB,1.01306343744920e+02°)
1.37088176616484e+00	(6.76219704466469e+01dB,1.01284709729408e+02°)
1.37404197501251e+00	(6.76031177241956e+01dB,1.01263114224969e+02°)
1.37720946889394e+00	(6.75842628250531e+01dB,1.01241557126508e+02°)
1.38038426460287e+00	(6.75654057543470e+01dB,1.01220038329229e+02°)
1.38356637897177e+00	(6.75465465171457e+01dB,1.01198557728630e+02°)
1.38675582887188e+00	(6.75276851184590e+01dB,1.01177115220512e+02°)
1.38995263121334e+00	(6.75088215632381e+01dB,1.01155710700971e+02°)
1.39315680294529e+00	(6.74899558563766e+01dB,1.01134344066407e+02°)
1.39636836105593e+00	(6.74710880027102e+01dB,1.01113015213523e+02°)
1.39958732257261e+00	(6.74522180070176e+01dB,1.01091724039325e+02°)
1.40281370456195e+00	(6.74333458740206e+01dB,1.01070470441123e+02°)
1.40604752412990e+00	(6.74144716083848e+01dB,1.01049254316535e+02°)
1.40928879842186e+00	(6.73955952147196e+01dB,1.01028075563487e+02°)
1.41253754462274e+00	(6.73767166975788e+01dB,1.01006934080211e+02°)
1.41579377995707e+00	(6.73578360614610e+01dB,1.00985829765253e+02°)
1.41905752168908e+00	(6.73389533108101e+01dB,1.00964762517467e+02°)
1.42232878712281e+00	(6.73200684500153e+01dB,1.00943732236020e+02°)
1.42560759360218e+00	(6.73011814834120e+01dB,1.00922738820394e+02°)
1.42889395851109e+00	(6.72822924152816e+01dB,1.00901782170383e+02°)
1.43218789927353e+00	(6.72634012498528e+01dB,1.00880862186100e+02°)
1.43548943335364e+00	(6.72445079913009e+01dB,1.00859978767971e+02°)
1.43879857825583e+00	(6.72256126437491e+01dB,1.00839131816743e+02°)
1.44211535152486e+00	(6.72067152112682e+01dB,1.00818321233480e+02°)
1.44543977074592e+00	(6.71878156978777e+01dB,1.00797546919567e+02°)
1.44877185354475e+00	(6.71689141075456e+01dB,1.00776808776709e+02°)
1.45211161758773e+00	(6.71500104441890e+01dB,1.00756106706934e+02°)
1.45545908058195e+00	(6.71311047116747e+01dB,1.00735440612591e+02°)
1.45881426027534e+00	(6.71121969138193e+01dB,1.00714810396355e+02°)
1.46217717445671e+00	(6.70932870543898e+01dB,1.00694215961224e+02°)
1.46554784095590e+00	(6.70743751371040e+01dB,1.00673657210522e+02°)
1.46892627764385e+00	(6.70554611656305e+01dB,1.00653134047901e+02°)
1.47231250243271e+00	(6.70365451435898e+01dB,1.00632646377339e+02°)
1.47570653327588e+00	(6.70176270745541e+01dB,1.00612194103142e+02°)
1.47910838816819e+00	(6.69987069620482e+01dB,1.00591777129946e+02°)
1.48251808514594e+00	(6.69797848095494e+01dB,1.00571395362717e+02°)
1.48593564228699e+00	(6.69608606204881e+01dB,1.00551048706750e+02°)
1.48936107771090e+00	(6.69419343982486e+01dB,1.00530737067674e+02°)
