Freq.	V(out)/V(inj)
1.42889395851109e+00	(1.17933370987779e+02dB,1.47360475178708e+01°)
1.43218789927353e+00	(1.17894892188089e+02dB,1.46774683412924e+01°)
1.43548943335364e+00	(1.17856398687427e+02dB,1.46189446670439e+01°)
1.43879857825583e+00	(1.17817890504701e+02dB,1.45604764778015e+01°)
1.44211535152486e+00	(1.17779367658714e+02dB,1.45020637559623e+01°)
1.44543977074592e+00	(1.17740830168142e+02dB,1.44437064836278e+01°)
1.44877185354475e+00	(1.17702278051554e+02dB,1.43854046426189e+01°)
1.45211161758773e+00	(1.17663711327398e+02dB,1.43271582145019e+01°)
1.45545908058195e+00	(1.17625130014008e+02dB,1.42689671805441e+01°)
1.45881426027534e+00	(1.17586534129601e+02dB,1.42108315217767e+01°)
1.46217717445671e+00	(1.17547923692280e+02dB,1.41527512189675e+01°)
1.46554784095590e+00	(1.17509298720026e+02dB,1.40947262526398e+01°)
1.46892627764385e+00	(1.17470659230706e+02dB,1.40367566030559e+01°)
1.47231250243271e+00	(1.17432005242073e+02dB,1.39788422502766e+01°)
1.47570653327588e+00	(1.17393336771757e+02dB,1.39209831741118e+01°)
1.47910838816819e+00	(1.17354653837274e+02dB,1.38631793541468e+01°)
1.48251808514594e+00	(1.17315956456019e+02dB,1.38054307697571e+01°)
1.48593564228699e+00	(1.17277244645278e+02dB,1.37477374000938e+01°)
1.48936107771090e+00	(1.17238518422210e+02dB,1.36900992241338e+01°)
1.49279440957898e+00	(1.17199777803860e+02dB,1.36325162206356e+01°)
1.49623565609442e+00	(1.17161022807154e+02dB,1.35749883681620e+01°)
1.49968483550236e+00	(1.17122253448901e+02dB,1.35175156450958e+01°)
1.50314196609001e+00	(1.17083469745790e+02dB,1.34600980296500e+01°)
1.50660706618673e+00	(1.17044671714394e+02dB,1.34027354998577e+01°)
1.51008015416413e+00	(1.17005859371165e+02dB,1.33454280335800e+01°)
1.51356124843619e+00	(1.16967032732439e+02dB,1.32881756085378e+01°)
1.51705036745932e+00	(1.16928191814432e+02dB,1.32309782022763e+01°)
1.52054752973248e+00	(1.16889336633238e+02dB,1.31738357922031e+01°)
1.52405275379728e+00	(1.16850467204839e+02dB,1.31167483555957e+01°)
1.52756605823806e+00	(1.16811583545096e+02dB,1.30597158695879e+01°)
1.53108746168201e+00	(1.16772685669747e+02dB,1.30027383111743e+01°)
1.53461698279928e+00	(1.16733773594414e+02dB,1.29458156572455e+01°)
1.53815464030302e+00	(1.16694847334601e+02dB,1.28889478845798e+01°)
1.54170045294954e+00	(1.16655906905691e+02dB,1.28321349698270e+01°)
1.54525443953840e+00	(1.16616952322946e+02dB,1.27753768895525e+01°)
1.54881661891247e+00	(1.16577983601515e+02dB,1.27186736202207e+01°)
1.55238700995807e+00	(1.16539000756423e+02dB,1.26620251381965e+01°)
1.55596563160506e+00	(1.16500003802578e+02dB,1.26054314197739e+01°)
1.55955250282694e+00	(1.16460992754765e+02dB,1.25488924411783e+01°)
1.56314764264094e+00	(1.16421967627655e+02dB,1.24924081785349e+01°)
1.56675107010813e+00	(1.16382928435794e+02dB,1.24359786079398e+01°)
1.57036280433354e+00	(1.16343875193616e+02dB,1.23796037054026e+01°)
1.57398286446620e+00	(1.16304807915430e+02dB,1.23232834468954e+01°)
1.57761126969933e+00	(1.16265726615425e+02dB,1.22670178083459e+01°)
1.58124803927037e+00	(1.16226631307676e+02dB,1.22108067656441e+01°)
1.58489319246110e+00	(1.16187522006135e+02dB,1.21546502946405e+01°)
1.58854674859776e+00	(1.16148398724636e+02dB,1.20985483711600e+01°)
1.59220872705115e+00	(1.16109261476891e+02dB,1.20425009710245e+01°)
1.59587914723672e+00	(1.16070110276503e+02dB,1.19865080700121e+01°)
1.59955802861465e+00	(1.16030945136938e+02dB,1.19305696439207e+01°)
1.60324539069002e+00	(1.15991766071562e+02dB,1.18746856685405e+01°)
1.60694125301286e+00	(1.15952573093608e+02dB,1.18188561196637e+01°)
1.61064563517825e+00	(1.15913366216199e+02dB,1.17630809731012e+01°)
1.61435855682647e+00	(1.15874145452332e+02dB,1.17073602046686e+01°)
1.61808003764305e+00	(1.15834910814891e+02dB,1.16516937902161e+01°)
1.62181009735891e+00	(1.15795662316638e+02dB,1.15960817056355e+01°)
1.62554875575047e+00	(1.15756399970219e+02dB,1.15405239268431e+01°)
1.62929603263970e+00	(1.15717123788158e+02dB,1.14850204297938e+01°)
1.63305194789432e+00	(1.15677833782866e+02dB,1.14295711905070e+01°)
1.63681652142779e+00	(1.15638529966626e+02dB,1.13741761850554e+01°)
1.64058977319952e+00	(1.15599212351615e+02dB,1.13188353895526e+01°)
1.64437172321491e+00	(1.15559880949881e+02dB,1.12635487802262e+01°)
1.64816239152549e+00	(1.15520535773359e+02dB,1.12083163333310e+01°)
1.65196179822900e+00	(1.15481176833870e+02dB,1.11531380252418e+01°)
1.65576996346951e+00	(1.15441804143110e+02dB,1.10980138323954e+01°)
1.65958690743754e+00	(1.15402417712659e+02dB,1.10429437313384e+01°)
1.66341265037015e+00	(1.15363017553984e+02dB,1.09879276987113e+01°)
1.66724721255104e+00	(1.15323603678428e+02dB,1.09329657112623e+01°)
1.67109061431069e+00	(1.15284176097221e+02dB,1.08780577458616e+01°)
1.67494287602642e+00	(1.15244734821479e+02dB,1.08232037794727e+01°)
1.67880401812254e+00	(1.15205279862191e+02dB,1.07684037892194e+01°)
1.68267406107045e+00	(1.15165811230239e+02dB,1.07136577523343e+01°)
1.68655302538872e+00	(1.15126328936384e+02dB,1.06589656462023e+01°)
1.69044093164324e+00	(1.15086832991274e+02dB,1.06043274483375e+01°)
1.69433780044731e+00	(1.15047323405434e+02dB,1.05497431364226e+01°)
1.69824365246172e+00	(1.15007800189279e+02dB,1.04952126882862e+01°)
1.70215850839493e+00	(1.14968263353109e+02dB,1.04407360819099e+01°)
1.70608238900310e+00	(1.14928712907101e+02dB,1.03863132954749e+01°)
1.71001531509027e+00	(1.14889148861324e+02dB,1.03319443073117e+01°)
1.71395730750840e+00	(1.14849571225728e+02dB,1.02776290959447e+01°)
1.71790838715757e+00	(1.14809980010150e+02dB,1.02233676400786e+01°)
1.72186857498599e+00	(1.14770375224312e+02dB,1.01691599186281e+01°)
1.72583789199018e+00	(1.14730756877818e+02dB,1.01150059106890e+01°)
1.72981635921508e+00	(1.14691124980162e+02dB,1.00609055955802e+01°)
1.73380399775412e+00	(1.14651479540721e+02dB,1.00068589528225e+01°)
1.73780082874935e+00	(1.14611820568762e+02dB,9.95286596217278e+00°)
1.74180687339159e+00	(1.14572148073432e+02dB,9.89892660357452e+00°)
1.74582215292048e+00	(1.14532462063771e+02dB,9.84504085725566e+00°)
1.74984668862463e+00	(1.14492762548703e+02dB,9.79120870363707e+00°)
1.75388050184174e+00	(1.14453049537038e+02dB,9.73743012342139e+00°)
1.75792361395867e+00	(1.14413323037477e+02dB,9.68370509752099e+00°)
1.76197604641161e+00	(1.14373583058602e+02dB,9.63003360714199e+00°)
1.76603782068614e+00	(1.14333829608892e+02dB,9.57641563373097e+00°)
1.77010895831740e+00	(1.14294062696708e+02dB,9.52285115900670e+00°)
1.77418948089014e+00	(1.14254282330303e+02dB,9.46934016496456e+00°)
1.77827941003890e+00	(1.14214488517815e+02dB,9.41588263388004e+00°)
1.78237876744807e+00	(1.14174681267274e+02dB,9.36247854831385e+00°)
1.78648757485203e+00	(1.14134860586599e+02dB,9.30912789113203e+00°)
1.79060585403527e+00	(1.14095026483599e+02dB,9.25583064547322e+00°)
1.79473362683250e+00	(1.14055178965971e+02dB,9.20258679480556e+00°)
1.79887091512876e+00	(1.14015318041305e+02dB,9.14939632290368e+00°)
1.80301774085954e+00	(1.13975443717082e+02dB,9.09625921384338e+00°)
1.80717412601090e+00	(1.13935556000673e+02dB,9.04317545204634e+00°)
1.81134009261958e+00	(1.13895654899336e+02dB,8.99014502225223e+00°)
1.81551566277311e+00	(1.13855740420231e+02dB,8.93716790952112e+00°)
1.81970085860996e+00	(1.13815812570401e+02dB,8.88424409929114e+00°)
1.82389570231961e+00	(1.13775871356786e+02dB,8.83137357730112e+00°)
1.82810021614272e+00	(1.13735916786217e+02dB,8.77855632968823e+00°)
1.83231442237119e+00	(1.13695948865419e+02dB,8.72579234292608e+00°)
1.83653834334832e+00	(1.13655967601011e+02dB,8.67308160383886e+00°)
1.84077200146893e+00	(1.13615972999503e+02dB,8.62042409965353e+00°)
1.84501541917945e+00	(1.13575965067306e+02dB,8.56781981795939e+00°)
1.84926861897805e+00	(1.13535943810717e+02dB,8.51526874672533e+00°)
1.85353162341478e+00	(1.13495909235934e+02dB,8.46277087431158e+00°)
1.85780445509167e+00	(1.13455861349052e+02dB,8.41032618946509e+00°)
1.86208713666284e+00	(1.13415800156056e+02dB,8.35793468135846e+00°)
