Freq.	Ix(x4:e)/Ix(x4:a)
1.40281370456195e+00	(6.62770584234277e+00dB,-1.79987393803927e+02°)
1.40604752412990e+00	(6.62770611132495e+00dB,-1.79987435389976e+02°)
1.40928879842186e+00	(6.62770637907391e+00dB,-1.79987476909818e+02°)
1.41253754462274e+00	(6.62770664559531e+00dB,-1.79987518363670e+02°)
1.41579377995707e+00	(6.62770691089478e+00dB,-1.79987559751750e+02°)
1.41905752168908e+00	(6.62770717497792e+00dB,-1.79987601074274e+02°)
1.42232878712281e+00	(6.62770743785032e+00dB,-1.79987642331459e+02°)
1.42560759360218e+00	(6.62770769951753e+00dB,-1.79987683523520e+02°)
1.42889395851109e+00	(6.62770795998508e+00dB,-1.79987724650673e+02°)
1.43218789927353e+00	(6.62770821925847e+00dB,-1.79987765713133e+02°)
1.43548943335364e+00	(6.62770847734317e+00dB,-1.79987806711116e+02°)
1.43879857825583e+00	(6.62770873424465e+00dB,-1.79987847644837e+02°)
1.44211535152486e+00	(6.62770898996834e+00dB,-1.79987888514509e+02°)
1.44543977074592e+00	(6.62770924451963e+00dB,-1.79987929320346e+02°)
1.44877185354475e+00	(6.62770949790390e+00dB,-1.79987970062563e+02°)
1.45211161758773e+00	(6.62770975012652e+00dB,-1.79988010741373e+02°)
1.45545908058195e+00	(6.62771000119280e+00dB,-1.79988051356989e+02°)
1.45881426027534e+00	(6.62771025110806e+00dB,-1.79988091909624e+02°)
1.46217717445671e+00	(6.62771049987757e+00dB,-1.79988132399490e+02°)
1.46554784095590e+00	(6.62771074750660e+00dB,-1.79988172826799e+02°)
1.46892627764385e+00	(6.62771099400037e+00dB,-1.79988213191763e+02°)
1.47231250243271e+00	(6.62771123936410e+00dB,-1.79988253494595e+02°)
1.47570653327588e+00	(6.62771148360297e+00dB,-1.79988293735504e+02°)
1.47910838816819e+00	(6.62771172672215e+00dB,-1.79988333914702e+02°)
1.48251808514594e+00	(6.62771196872676e+00dB,-1.79988374032400e+02°)
1.48593564228699e+00	(6.62771220962194e+00dB,-1.79988414088808e+02°)
1.48936107771090e+00	(6.62771244941276e+00dB,-1.79988454084135e+02°)
1.49279440957898e+00	(6.62771268810430e+00dB,-1.79988494018592e+02°)
1.49623565609442e+00	(6.62771292570159e+00dB,-1.79988533892387e+02°)
1.49968483550236e+00	(6.62771316220967e+00dB,-1.79988573705731e+02°)
1.50314196609001e+00	(6.62771339763354e+00dB,-1.79988613458831e+02°)
1.50660706618673e+00	(6.62771363197816e+00dB,-1.79988653151896e+02°)
1.51008015416413e+00	(6.62771386524849e+00dB,-1.79988692785134e+02°)
1.51356124843619e+00	(6.62771409744947e+00dB,-1.79988732358754e+02°)
1.51705036745932e+00	(6.62771432858599e+00dB,-1.79988771872962e+02°)
1.52054752973248e+00	(6.62771455866295e+00dB,-1.79988811327966e+02°)
1.52405275379728e+00	(6.62771478768522e+00dB,-1.79988850723973e+02°)
1.52756605823806e+00	(6.62771501565762e+00dB,-1.79988890061189e+02°)
1.53108746168201e+00	(6.62771524258499e+00dB,-1.79988929339821e+02°)
1.53461698279928e+00	(6.62771546847210e+00dB,-1.79988968560075e+02°)
1.53815464030302e+00	(6.62771569332376e+00dB,-1.79989007722157e+02°)
1.54170045294954e+00	(6.62771591714470e+00dB,-1.79989046826272e+02°)
1.54525443953840e+00	(6.62771613993966e+00dB,-1.79989085872625e+02°)
1.54881661891247e+00	(6.62771636171334e+00dB,-1.79989124861422e+02°)
1.55238700995807e+00	(6.62771658247045e+00dB,-1.79989163792866e+02°)
1.55596563160506e+00	(6.62771680221563e+00dB,-1.79989202667163e+02°)
1.55955250282694e+00	(6.62771702095355e+00dB,-1.79989241484515e+02°)
1.56314764264094e+00	(6.62771723868881e+00dB,-1.79989280245128e+02°)
1.56675107010813e+00	(6.62771745542604e+00dB,-1.79989318949204e+02°)
1.57036280433354e+00	(6.62771767116980e+00dB,-1.79989357596946e+02°)
1.57398286446620e+00	(6.62771788592467e+00dB,-1.79989396188558e+02°)
1.57761126969933e+00	(6.62771809969518e+00dB,-1.79989434724242e+02°)
1.58124803927037e+00	(6.62771831248584e+00dB,-1.79989473204200e+02°)
1.58489319246110e+00	(6.62771852430117e+00dB,-1.79989511628634e+02°)
1.58854674859776e+00	(6.62771873514564e+00dB,-1.79989549997747e+02°)
1.59220872705115e+00	(6.62771894502371e+00dB,-1.79989588311739e+02°)
1.59587914723672e+00	(6.62771915393981e+00dB,-1.79989626570812e+02°)
1.59955802861465e+00	(6.62771936189836e+00dB,-1.79989664775166e+02°)
1.60324539069002e+00	(6.62771956890377e+00dB,-1.79989702925003e+02°)
1.60694125301286e+00	(6.62771977496040e+00dB,-1.79989741020522e+02°)
1.61064563517825e+00	(6.62771998007261e+00dB,-1.79989779061924e+02°)
1.61435855682647e+00	(6.62772018424475e+00dB,-1.79989817049409e+02°)
1.61808003764305e+00	(6.62772038748112e+00dB,-1.79989854983176e+02°)
1.62181009735891e+00	(6.62772058978603e+00dB,-1.79989892863424e+02°)
1.62554875575047e+00	(6.62772079116376e+00dB,-1.79989930690352e+02°)
1.62929603263970e+00	(6.62772099161856e+00dB,-1.79989968464160e+02°)
1.63305194789432e+00	(6.62772119115467e+00dB,-1.79990006185045e+02°)
1.63681652142779e+00	(6.62772138977631e+00dB,-1.79990043853206e+02°)
1.64058977319952e+00	(6.62772158748768e+00dB,-1.79990081468840e+02°)
1.64437172321491e+00	(6.62772178429298e+00dB,-1.79990119032146e+02°)
1.64816239152549e+00	(6.62772198019634e+00dB,-1.79990156543321e+02°)
1.65196179822900e+00	(6.62772217520193e+00dB,-1.79990194002561e+02°)
1.65576996346951e+00	(6.62772236931385e+00dB,-1.79990231410064e+02°)
1.65958690743754e+00	(6.62772256253622e+00dB,-1.79990268766027e+02°)
1.66341265037015e+00	(6.62772275487313e+00dB,-1.79990306070645e+02°)
1.66724721255104e+00	(6.62772294632864e+00dB,-1.79990343324114e+02°)
1.67109061431069e+00	(6.62772313690681e+00dB,-1.79990380526631e+02°)
1.67494287602642e+00	(6.62772332661166e+00dB,-1.79990417678392e+02°)
1.67880401812254e+00	(6.62772351544720e+00dB,-1.79990454779590e+02°)
1.68267406107045e+00	(6.62772370341743e+00dB,-1.79990491830423e+02°)
1.68655302538872e+00	(6.62772389052632e+00dB,-1.79990528831083e+02°)
1.69044093164324e+00	(6.62772407677783e+00dB,-1.79990565781766e+02°)
1.69433780044731e+00	(6.62772426217591e+00dB,-1.79990602682667e+02°)
1.69824365246172e+00	(6.62772444672447e+00dB,-1.79990639533978e+02°)
1.70215850839493e+00	(6.62772463042742e+00dB,-1.79990676335894e+02°)
1.70608238900310e+00	(6.62772481328864e+00dB,-1.79990713088609e+02°)
1.71001531509027e+00	(6.62772499531200e+00dB,-1.79990749792315e+02°)
1.71395730750840e+00	(6.62772517650135e+00dB,-1.79990786447206e+02°)
1.71790838715757e+00	(6.62772535686052e+00dB,-1.79990823053475e+02°)
1.72186857498599e+00	(6.62772553639333e+00dB,-1.79990859611314e+02°)
1.72583789199018e+00	(6.62772571510358e+00dB,-1.79990896120915e+02°)
1.72981635921508e+00	(6.62772589299504e+00dB,-1.79990932582470e+02°)
1.73380399775412e+00	(6.62772607007148e+00dB,-1.79990968996172e+02°)
1.73780082874935e+00	(6.62772624633665e+00dB,-1.79991005362211e+02°)
1.74180687339159e+00	(6.62772642179427e+00dB,-1.79991041680779e+02°)
1.74582215292048e+00	(6.62772659644806e+00dB,-1.79991077952068e+02°)
1.74984668862463e+00	(6.62772677030171e+00dB,-1.79991114176267e+02°)
1.75388050184174e+00	(6.62772694335890e+00dB,-1.79991150353568e+02°)
1.75792361395867e+00	(6.62772711562328e+00dB,-1.79991186484161e+02°)
1.76197604641161e+00	(6.62772728709851e+00dB,-1.79991222568236e+02°)
1.76603782068614e+00	(6.62772745778820e+00dB,-1.79991258605982e+02°)
1.77010895831740e+00	(6.62772762769599e+00dB,-1.79991294597591e+02°)
1.77418948089014e+00	(6.62772779682545e+00dB,-1.79991330543250e+02°)
