Freq.	V(COMP)/V(OPTO_OUT)
2.04173794466950e+00	(4.38765918151607e+01dB,9.24522291224590e+01°)
2.04644463672464e+00	(4.38566218382061e+01dB,9.24567315629328e+01°)
2.05116217882553e+00	(4.38366519961642e+01dB,9.24612469823184e+01°)
2.05589059598411e+00	(4.38166822896719e+01dB,9.24657754042284e+01°)
2.06062991326997e+00	(4.37967127193674e+01dB,9.24703168523557e+01°)
2.06538015581049e+00	(4.37767432858953e+01dB,9.24748713504572e+01°)
2.07014134879101e+00	(4.37567739898991e+01dB,9.24794389223398e+01°)
2.07491351745487e+00	(4.37368048320272e+01dB,9.24840195919023e+01°)
2.07969668710366e+00	(4.37168358129323e+01dB,9.24886133830961e+01°)
2.08449088309725e+00	(4.36968669332672e+01dB,9.24932203199414e+01°)
2.08929613085400e+00	(4.36768981936885e+01dB,9.24978404265307e+01°)
2.09411245585086e+00	(4.36569295948577e+01dB,9.25024737270152e+01°)
2.09893988362349e+00	(4.36369611374352e+01dB,9.25071202456271e+01°)
2.10377843976644e+00	(4.36169928220901e+01dB,9.25117800066530e+01°)
2.10862814993325e+00	(4.35970246494882e+01dB,9.25164530344500e+01°)
2.11348903983661e+00	(4.35770566203034e+01dB,9.25211393534552e+01°)
2.11836113524847e+00	(4.35570887352098e+01dB,9.25258389881558e+01°)
2.12324446200018e+00	(4.35371209948851e+01dB,9.25305519631230e+01°)
2.12813904598267e+00	(4.35171534000101e+01dB,9.25352783029842e+01°)
2.13304491314654e+00	(4.34971859512687e+01dB,9.25400180324396e+01°)
2.13796208950219e+00	(4.34772186493498e+01dB,9.25447711762619e+01°)
2.14289060112002e+00	(4.34572514949408e+01dB,9.25495377592876e+01°)
2.14783047413050e+00	(4.34372844887356e+01dB,9.25543178064233e+01°)
2.15278173472433e+00	(4.34173176314319e+01dB,9.25591113426427e+01°)
2.15774440915263e+00	(4.33973509237286e+01dB,9.25639183929977e+01°)
2.16271852372698e+00	(4.33773843663279e+01dB,9.25687389825858e+01°)
2.16770410481966e+00	(4.33574179599354e+01dB,9.25735731366087e+01°)
2.17270117886371e+00	(4.33374517052600e+01dB,9.25784208803050e+01°)
2.17770977235312e+00	(4.33174856030142e+01dB,9.25832822390033e+01°)
2.18272991184296e+00	(4.32975196539140e+01dB,9.25881572380929e+01°)
2.18776162394951e+00	(4.32775538586769e+01dB,9.25930459030327e+01°)
2.19280493535041e+00	(4.32575882180245e+01dB,9.25979482593561e+01°)
2.19785987278478e+00	(4.32376227326821e+01dB,9.26028643326617e+01°)
2.20292646305342e+00	(4.32176574033784e+01dB,9.26077941486178e+01°)
2.20800473301886e+00	(4.31976922308440e+01dB,9.26127377329722e+01°)
2.21309470960560e+00	(4.31777272158152e+01dB,9.26176951115261e+01°)
2.21819641980018e+00	(4.31577623590285e+01dB,9.26226663101656e+01°)
2.22330989065136e+00	(4.31377976612268e+01dB,9.26276513548456e+01°)
2.22843514927026e+00	(4.31178331231537e+01dB,9.26326502715809e+01°)
2.23357222283049e+00	(4.30978687455582e+01dB,9.26376630864697e+01°)
2.23872113856830e+00	(4.30779045291912e+01dB,9.26426898256770e+01°)
2.24388192378272e+00	(4.30579404748074e+01dB,9.26477305154321e+01°)
2.24905460583574e+00	(4.30379765831662e+01dB,9.26527851820482e+01°)
2.25423921215239e+00	(4.30180128550285e+01dB,9.26578538518937e+01°)
2.25943577022093e+00	(4.29980492911596e+01dB,9.26629365514234e+01°)
2.26464430759302e+00	(4.29780858923274e+01dB,9.26680333071552e+01°)
2.26986485188378e+00	(4.29581226593048e+01dB,9.26731441456832e+01°)
2.27509743077203e+00	(4.29381595928676e+01dB,9.26782690936644e+01°)
2.28034207200037e+00	(4.29181966937938e+01dB,9.26834081778404e+01°)
2.28559880337539e+00	(4.28982339628663e+01dB,9.26885614250097e+01°)
2.29086765276773e+00	(4.28782714008712e+01dB,9.26937288620622e+01°)
2.29614864811232e+00	(4.28583090085985e+01dB,9.26989105159401e+01°)
2.30144181740846e+00	(4.28383467868411e+01dB,9.27041064136699e+01°)
2.30674718872002e+00	(4.28183847363954e+01dB,9.27093165823488e+01°)
2.31206479017555e+00	(4.27984228580619e+01dB,9.27145410491437e+01°)
