Freq.	V(out)/V(inj)
2.07014134879101e+00	(9.90776587087362e+01dB,3.05863268129079e+01°)
2.07491351745487e+00	(9.90402722281360e+01dB,3.05739247761735e+01°)
2.07969668710366e+00	(9.90028819523459e+01dB,3.05616574552955e+01°)
2.08449088309725e+00	(9.89654879252900e+01dB,3.05495248702489e+01°)
2.08929613085400e+00	(9.89280901908718e+01dB,3.05375270407260e+01°)
2.09411245585086e+00	(9.88906887929729e+01dB,3.05256639861272e+01°)
2.09893988362349e+00	(9.88532837754546e+01dB,3.05139357255730e+01°)
2.10377843976644e+00	(9.88158751821569e+01dB,3.05023422778957e+01°)
2.10862814993325e+00	(9.87784630568993e+01dB,3.04908836616500e+01°)
2.11348903983661e+00	(9.87410474434812e+01dB,3.04795598951109e+01°)
2.11836113524847e+00	(9.87036283856814e+01dB,3.04683709962750e+01°)
2.12324446200018e+00	(9.86662059272595e+01dB,3.04573169828646e+01°)
2.12813904598267e+00	(9.86287801119547e+01dB,3.04463978723276e+01°)
2.13304491314654e+00	(9.85913509834870e+01dB,3.04356136818392e+01°)
2.13796208950219e+00	(9.85539185855573e+01dB,3.04249644283063e+01°)
2.14289060112002e+00	(9.85164829618471e+01dB,3.04144501283652e+01°)
2.14783047413050e+00	(9.84790441560195e+01dB,3.04040707983866e+01°)
2.15278173472433e+00	(9.84416022117188e+01dB,3.03938264544764e+01°)
2.15774440915263e+00	(9.84041571725709e+01dB,3.03837171124755e+01°)
2.16271852372698e+00	(9.83667090821838e+01dB,3.03737427879652e+01°)
2.16770410481966e+00	(9.83292579841474e+01dB,3.03639034962644e+01°)
2.17270117886371e+00	(9.82918039220342e+01dB,3.03541992524356e+01°)
2.17770977235312e+00	(9.82543469393991e+01dB,3.03446300712826e+01°)
2.18272991184296e+00	(9.82168870797799e+01dB,3.03351959673544e+01°)
2.18776162394951e+00	(9.81794243866975e+01dB,3.03258969549466e+01°)
2.19280493535041e+00	(9.81419589036562e+01dB,3.03167330481018e+01°)
2.19785987278478e+00	(9.81044906741437e+01dB,3.03077042606127e+01°)
2.20292646305342e+00	(9.80670197416317e+01dB,3.02988106060210e+01°)
2.20800473301886e+00	(9.80295461495757e+01dB,3.02900520976218e+01°)
2.21309470960560e+00	(9.79920699414159e+01dB,3.02814287484642e+01°)
2.21819641980018e+00	(9.79545911605769e+01dB,3.02729405713507e+01°)
2.22330989065136e+00	(9.79171098504678e+01dB,3.02645875788407e+01°)
2.22843514927026e+00	(9.78796260544833e+01dB,3.02563697832524e+01°)
