Freq.	V(A)/I(RDC_AB)
1.56314764264094e+01	(-2.94208800627286e+01dB,1.49700719004223e+00°)
1.56675107010813e+01	(-2.94205614299702e+01dB,1.49969137638255e+00°)
1.57036280433354e+01	(-2.94202416726867e+01dB,1.50237727129783e+00°)
1.57398286446620e+01	(-2.94199207883179e+01dB,1.50506485597977e+00°)
1.57761126969933e+01	(-2.94195987743155e+01dB,1.50775411149680e+00°)
1.58124803927037e+01	(-2.94192756281355e+01dB,1.51044501879268e+00°)
1.58489319246110e+01	(-2.94189513472361e+01dB,1.51313755868581e+00°)
1.58854674859776e+01	(-2.94186259290886e+01dB,1.51583171187081e+00°)
1.59220872705115e+01	(-2.94182993711675e+01dB,1.51852745891679e+00°)
1.59587914723672e+01	(-2.94179716709635e+01dB,1.52122478026921e+00°)
1.59955802861465e+01	(-2.94176428259477e+01dB,1.52392365624348e+00°)
1.60324539069002e+01	(-2.94173128336244e+01dB,1.52662406703398e+00°)
1.60694125301286e+01	(-2.94169816914971e+01dB,1.52932599270789e+00°)
1.61064563517825e+01	(-2.94166493970709e+01dB,1.53202941320541e+00°)
1.61435855682647e+01	(-2.94163159478617e+01dB,1.53473430834117e+00°)
1.61808003764305e+01	(-2.94159813413954e+01dB,1.53744065780390e+00°)
1.62181009735891e+01	(-2.94156455751973e+01dB,1.54014844115437e+00°)
1.62554875575047e+01	(-2.94153086468089e+01dB,1.54285763782814e+00°)
1.62929603263970e+01	(-2.94149705537733e+01dB,1.54556822713287e+00°)
1.63305194789432e+01	(-2.94146312936542e+01dB,1.54828018825143e+00°)
1.63681652142779e+01	(-2.94142908639976e+01dB,1.55099350023496e+00°)
1.64058977319952e+01	(-2.94139492623823e+01dB,1.55370814201169e+00°)
1.64437172321491e+01	(-2.94136064863864e+01dB,1.55642409238081e+00°)
1.64816239152549e+01	(-2.94132625335930e+01dB,1.55914133001330e+00°)
1.65196179822900e+01	(-2.94129174015898e+01dB,1.56185983345172e+00°)
1.65576996346951e+01	(-2.94125710879952e+01dB,1.56457958111473e+00°)
1.65958690743754e+01	(-2.94122235904034e+01dB,1.56730055128715e+00°)
1.66341265037015e+01	(-2.94118749064526e+01dB,1.57002272213199e+00°)
1.66724721255104e+01	(-2.94115250337571e+01dB,1.57274607167813e+00°)
1.67109061431069e+01	(-2.94111739699600e+01dB,1.57547057782974e+00°)
1.67494287602642e+01	(-2.94108217127097e+01dB,1.57819621836181e+00°)
1.67880401812254e+01	(-2.94104682596649e+01dB,1.58092297092105e+00°)
1.68267406107045e+01	(-2.94101136084879e+01dB,1.58365081302448e+00°)
1.68655302538872e+01	(-2.94097577568557e+01dB,1.58637972206136e+00°)
1.69044093164324e+01	(-2.94094007024631e+01dB,1.58910967529369e+00°)
1.69433780044731e+01	(-2.94090424429913e+01dB,1.59184064985034e+00°)
1.69824365246172e+01	(-2.94086829761524e+01dB,1.59457262273504e+00°)
1.70215850839493e+01	(-2.94083222996640e+01dB,1.59730557082182e+00°)
1.70608238900310e+01	(-2.94079604112509e+01dB,1.60003947085506e+00°)
1.71001531509027e+01	(-2.94075973086537e+01dB,1.60277429945106e+00°)
1.71395730750840e+01	(-2.94072329896126e+01dB,1.60551003309503e+00°)
1.71790838715757e+01	(-2.94068674518880e+01dB,1.60824664814479e+00°)
1.72186857498599e+01	(-2.94065006932528e+01dB,1.61098412082923e+00°)
1.72583789199018e+01	(-2.94061327114874e+01dB,1.61372242724747e+00°)
1.72981635921508e+01	(-2.94057635043760e+01dB,1.61646154336798e+00°)
1.73380399775412e+01	(-2.94053930697260e+01dB,1.61920144503230e+00°)
1.73780082874935e+01	(-2.94050214053459e+01dB,1.62194210795071e+00°)
1.74180687339159e+01	(-2.94046485090730e+01dB,1.62468350770754e+00°)
1.74582215292048e+01	(-2.94042743787340e+01dB,1.62742561975369e+00°)
1.74984668862463e+01	(-2.94038990121836e+01dB,1.63016841941388e+00°)
1.75388050184174e+01	(-2.94035224072787e+01dB,1.63291188188174e+00°)
1.75792361395867e+01	(-2.94031445618963e+01dB,1.63565598222331e+00°)
1.76197604641161e+01	(-2.94027654739235e+01dB,1.63840069537497e+00°)
1.76603782068614e+01	(-2.94023851412546e+01dB,1.64114599614308e+00°)
1.77010895831740e+01	(-2.94020035617993e+01dB,1.64389185920545e+00°)
1.77418948089014e+01	(-2.94016207334865e+01dB,1.64663825911207e+00°)
