Freq.	V(p15v_pri)/V(inj)
1.31825673855640e+00	(6.88107448613051e+01dB,1.01657592316649e+02°)
1.32129563418657e+00	(6.87919299882932e+01dB,1.01635327103688e+02°)
1.32434153519466e+00	(6.87731128420337e+01dB,1.01613102121123e+02°)
1.32739445772973e+00	(6.87542934287170e+01dB,1.01590917259324e+02°)
1.33045441797808e+00	(6.87354717544679e+01dB,1.01568772408934e+02°)
1.33352143216332e+00	(6.87166478253460e+01dB,1.01546667460868e+02°)
1.33659551654643e+00	(6.86978216473463e+01dB,1.01524602306315e+02°)
1.33967668742593e+00	(6.86789932263993e+01dB,1.01502576836743e+02°)
1.34276496113785e+00	(6.86601625683715e+01dB,1.01480590943895e+02°)
1.34586035405594e+00	(6.86413296790659e+01dB,1.01458644519796e+02°)
1.34896288259164e+00	(6.86224945642220e+01dB,1.01436737456749e+02°)
1.35207256319427e+00	(6.86036572295165e+01dB,1.01414869647344e+02°)
1.35518941235103e+00	(6.85848176805637e+01dB,1.01393040984452e+02°)
1.35831344658714e+00	(6.85659759229154e+01dB,1.01371251361229e+02°)
1.36144468246594e+00	(6.85471319620620e+01dB,1.01349500671122e+02°)
1.36458313658891e+00	(6.85282858034323e+01dB,1.01327788807864e+02°)
1.36772882559584e+00	(6.85094374523942e+01dB,1.01306115665478e+02°)
1.37088176616484e+00	(6.84905869142548e+01dB,1.01284481138280e+02°)
1.37404197501251e+00	(6.84717341942610e+01dB,1.01262885120877e+02°)
1.37720946889394e+00	(6.84528792975999e+01dB,1.01241327508174e+02°)
1.38038426460287e+00	(6.84340222293990e+01dB,1.01219808195368e+02°)
1.38356637897177e+00	(6.84151629947268e+01dB,1.01198327077955e+02°)
1.38675582887188e+00	(6.83963015985930e+01dB,1.01176884051730e+02°)
1.38995263121334e+00	(6.83774380459489e+01dB,1.01155479012788e+02°)
1.39315680294529e+00	(6.83585723416880e+01dB,1.01134111857524e+02°)
1.39636836105593e+00	(6.83397044906461e+01dB,1.01112782482636e+02°)
1.39958732257261e+00	(6.83208344976018e+01dB,1.01091490785126e+02°)
1.40281370456195e+00	(6.83019623672770e+01dB,1.01070236662303e+02°)
1.40604752412990e+00	(6.82830881043373e+01dB,1.01049020011778e+02°)
1.40928879842186e+00	(6.82642117133920e+01dB,1.01027840731473e+02°)
1.41253754462274e+00	(6.82453331989949e+01dB,1.01006698719619e+02°)
1.41579377995707e+00	(6.82264525656447e+01dB,1.00985593874754e+02°)
1.41905752168908e+00	(6.82075698177852e+01dB,1.00964526095731e+02°)
1.42232878712281e+00	(6.81886849598056e+01dB,1.00943495281713e+02°)
1.42560759360218e+00	(6.81697979960413e+01dB,1.00922501332176e+02°)
1.42889395851109e+00	(6.81509089307738e+01dB,1.00901544146912e+02°)
1.43218789927353e+00	(6.81320177682316e+01dB,1.00880623626029e+02°)
1.43548943335364e+00	(6.81131245125901e+01dB,1.00859739669949e+02°)
1.43879857825583e+00	(6.80942291679725e+01dB,1.00838892179415e+02°)
1.44211535152486e+00	(6.80753317384495e+01dB,1.00818081055488e+02°)
1.44543977074592e+00	(6.80564322280407e+01dB,1.00797306199547e+02°)
1.44877185354475e+00	(6.80375306407140e+01dB,1.00776567513295e+02°)
1.45211161758773e+00	(6.80186269803865e+01dB,1.00755864898754e+02°)
